,cordinates_y,cordinates_x,area,binarize_threshold_adjustment_otsu,binarize_threshold_value,green_mean_intensity,green_mean_intensity_log1p,segmentation_scale_factor,number_of_all_objects,cell_size_filter_min,cell_size_filter_max,number_of_removed_object,number_of_remained_object,file_path_BF,file_path_Green,GFP_positive_cell
0,1.7826086956521738,27.652173913043477,23,0,0.49613972962622555,14.478260869565217,2.7394365149228808,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
2,2.710144927536232,321.7826086956522,69,0,0.49613972962622555,10.840579710144928,2.4715325902627434,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
3,2.1666666666666665,685.7222222222222,18,0,0.49613972962622555,17.333333333333332,2.908720896564361,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
5,1.6111111111111112,901.4444444444445,18,0,0.49613972962622555,13.222222222222221,2.6548056865833978,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
6,2.36,1277.24,25,0,0.49613972962622555,13.04,2.641910398597665,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
7,3.5238095238095237,553.6666666666666,21,0,0.49613972962622555,13.904761904761905,2.7016807528167304,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
10,4.5,881.5,12,0,0.49613972962622555,14.25,2.7245795030534206,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
12,6.75,438.3333333333333,12,0,0.49613972962622555,16.666666666666668,2.8716796248840124,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
14,6.5,1086.7142857142858,14,0,0.49613972962622555,10.357142857142858,2.429846872604973,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
15,8.926829268292684,528.6585365853658,41,0,0.49613972962622555,14.975609756097562,2.771063168930944,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
16,9.526315789473685,1093.3684210526317,19,0,0.49613972962622555,12.68421052631579,2.6162426518490873,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
17,7.857142857142857,546.5714285714286,14,0,0.49613972962622555,14.428571428571429,2.7362210780689065,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
19,12.5,516.0,14,0,0.49613972962622555,17.071428571428573,2.8943321591122615,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
22,16.228571428571428,370.51428571428573,35,0,0.49613972962622555,13.228571428571428,2.6552520155352393,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
24,21.489795918367346,1013.1224489795918,49,0,0.49613972962622555,12.020408163265307,2.5665179852341633,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
26,26.08695652173913,261.39130434782606,23,0,0.49613972962622555,14.0,2.70805020110221,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
27,27.096774193548388,302.2903225806452,31,0,0.49613972962622555,15.67741935483871,2.814055670023283,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
30,28.857142857142858,566.2857142857143,14,0,0.49613972962622555,16.714285714285715,2.8743714165497236,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
32,31.137931034482758,1103.448275862069,29,0,0.49613972962622555,11.620689655172415,2.535337503414892,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
36,31.3,434.6,20,0,0.49613972962622555,13.75,2.691243082785829,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
37,32.696969696969695,507.1515151515151,33,0,0.49613972962622555,13.030303030303031,2.641219492619754,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
38,32.0,777.5,18,0,0.49613972962622555,18.166666666666668,2.953172659135195,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
42,37.5,368.88461538461536,26,0,0.49613972962622555,14.461538461538462,2.738355550597539,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
43,38.3469387755102,711.6326530612245,49,0,0.49613972962622555,12.63265306122449,2.6124678754260193,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
44,36.61538461538461,1107.3846153846155,13,0,0.49613972962622555,13.692307692307692,2.687324070585093,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
45,40.44,1059.8,25,0,0.49613972962622555,15.12,2.780060737078482,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
47,44.76470588235294,651.4705882352941,17,0,0.49613972962622555,17.58823529411765,2.922528869530696,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
48,46.81481481481482,147.40740740740742,27,0,0.49613972962622555,9.74074074074074,2.3740440569761905,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
49,45.23809523809524,609.3333333333334,21,0,0.49613972962622555,16.333333333333332,2.8526314299133175,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
50,48.15625,857.6875,32,0,0.49613972962622555,72.84375,4.301951374387182,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,True
51,51.02439024390244,24.658536585365855,41,0,0.49613972962622555,10.634146341463415,2.4539444241840336,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
52,49.84615384615385,141.46153846153845,13,0,0.49613972962622555,16.846153846153847,2.881788014204773,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
56,57.310344827586206,802.7413793103449,58,0,0.49613972962622555,12.706896551724139,2.6178991041079125,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
57,53.25,1242.0833333333333,12,0,0.49613972962622555,12.5,2.6026896854443837,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
60,55.90909090909091,411.90909090909093,22,0,0.49613972962622555,15.363636363636363,2.7950615780918397,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
62,56.61538461538461,277.7692307692308,13,0,0.49613972962622555,13.0,2.6390573296152584,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
64,61.74603174603175,889.8253968253969,63,0,0.49613972962622555,16.746031746031747,2.876161927323512,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
65,59.8421052631579,719.9473684210526,19,0,0.49613972962622555,13.947368421052632,2.7045352589947655,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
67,61.42424242424242,8.878787878787879,33,0,0.49613972962622555,11.090909090909092,2.4924538554233835,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
70,61.4375,877.75,16,0,0.49613972962622555,16.5625,2.8657659470939647,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
71,66.84210526315789,633.0526315789474,38,0,0.49613972962622555,13.947368421052632,2.7045352589947655,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
72,67.73333333333333,236.93333333333334,15,0,0.49613972962622555,18.4,2.9652730660692823,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
74,70.69047619047619,677.9285714285714,42,0,0.49613972962622555,11.0,2.4849066497880004,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
75,70.0,1137.0,19,0,0.49613972962622555,12.157894736842104,2.5770219386958058,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
76,71.125,170.54166666666666,24,0,0.49613972962622555,17.375,2.9109910450989003,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
79,72.0,1276.8461538461538,26,0,0.49613972962622555,14.653846153846153,2.750716647421113,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
82,73.11111111111111,449.48148148148147,27,0,0.49613972962622555,16.444444444444443,2.8590212280120886,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
83,75.82352941176471,735.4705882352941,34,0,0.49613972962622555,14.235294117647058,2.7236147176433216,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
85,73.61538461538461,918.6153846153846,13,0,0.49613972962622555,15.538461538461538,2.805688670666126,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
86,74.07692307692308,902.4615384615385,13,0,0.49613972962622555,12.384615384615385,2.5941059417529924,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
87,79.55555555555556,1079.6444444444444,45,0,0.49613972962622555,12.266666666666667,2.585254623622282,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
91,82.85714285714286,46.904761904761905,42,0,0.49613972962622555,13.976190476190476,2.706461638417072,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
93,84.34782608695652,217.82608695652175,23,0,0.49613972962622555,16.869565217391305,2.883098998567085,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
94,83.4,734.4,15,0,0.49613972962622555,15.333333333333334,2.793208009442517,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
96,87.5,572.5,12,0,0.49613972962622555,10.083333333333334,2.4054424784337534,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
98,89.55555555555556,461.1111111111111,18,0,0.49613972962622555,11.944444444444445,2.560666695669536,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
99,90.57894736842105,660.1578947368421,19,0,0.49613972962622555,16.0,2.833213344056216,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
101,92.12121212121212,963.9090909090909,33,0,0.49613972962622555,13.696969696969697,2.687641329471003,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
103,92.32142857142857,956.1785714285714,28,0,0.49613972962622555,11.0,2.4849066497880004,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
106,94.52777777777777,1037.0,36,0,0.49613972962622555,14.222222222222221,2.7227563484919055,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
109,97.13333333333334,739.8833333333333,60,0,0.49613972962622555,10.133333333333333,2.409943611314545,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
110,96.7741935483871,332.03225806451616,31,0,0.49613972962622555,38.54838709677419,3.6775249120110103,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,True
112,98.78571428571429,253.71428571428572,14,0,0.49613972962622555,15.071428571428571,2.7770430725891617,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
113,98.73333333333333,1193.3333333333333,15,0,0.49613972962622555,17.866666666666667,2.9373966965410276,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
115,101.77272727272727,619.0909090909091,22,0,0.49613972962622555,59.63636363636363,4.104894773117253,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,True
116,103.33333333333333,251.33333333333334,18,0,0.49613972962622555,16.444444444444443,2.8590212280120886,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
120,108.62857142857143,1028.3714285714286,35,0,0.49613972962622555,14.485714285714286,2.7399179399502325,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
121,107.25,1103.9166666666667,12,0,0.49613972962622555,13.5,2.6741486494265287,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
122,110.6842105263158,1106.3684210526317,19,0,0.49613972962622555,11.31578947368421,2.510882136191261,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
124,113.28571428571429,921.8571428571429,42,0,0.49613972962622555,11.904761904761905,2.557596383156278,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
125,113.33333333333333,1259.5333333333333,15,0,0.49613972962622555,13.333333333333334,2.662587827025453,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
126,114.56666666666666,452.03333333333336,30,0,0.49613972962622555,15.033333333333333,2.7746698884436056,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
127,113.53333333333333,1149.6666666666667,15,0,0.49613972962622555,14.133333333333333,2.7168998163791924,1,922,10,70,410,512,./test_data/control1_bf.JPG,./test_data/control1_gfp.JPG,False
